Sample,Category,Length,Count
Cells-G2,GFP_wPT,41,14
Cells-G2,GFP_wPT,42,15
Cells-G2,GFP_wPT,43,4
Cells-G2,GFP_wPT,44,4
Cells-G2,GFP_wPT,45,1
Cells-G2,GFP_wPT,46,1
Cells-G2,GFP_wPT,47,2
Cells-G2,GFP_wPT,48,1
Cells-G2,GFP_wPT,53,1
Cells-G2,pDS-noGFPw,15,163
Cells-G2,pDS-noGFPw,16,273
Cells-G2,pDS-noGFPw,17,484
Cells-G2,pDS-noGFPw,18,728
Cells-G2,pDS-noGFPw,19,1072
Cells-G2,pDS-noGFPw,20,1002
Cells-G2,pDS-noGFPw,21,1303
Cells-G2,pDS-noGFPw,22,1188
Cells-G2,pDS-noGFPw,23,1048
Cells-G2,pDS-noGFPw,24,797
Cells-G2,pDS-noGFPw,25,588
Cells-G2,pDS-noGFPw,26,669
Cells-G2,pDS-noGFPw,27,512
Cells-G2,pDS-noGFPw,28,359
Cells-G2,pDS-noGFPw,29,340
Cells-G2,pDS-noGFPw,30,240
Cells-G2,pDS-noGFPw,31,159
Cells-G2,pDS-noGFPw,32,123
Cells-G2,pDS-noGFPw,33,86
Cells-G2,pDS-noGFPw,34,53
Cells-G2,pDS-noGFPw,35,29
Cells-G2,pDS-noGFPw,36,12
Cells-G2,pDS-noGFPw,37,11
Cells-G2,pDS-noGFPw,38,8
Cells-G2,pDS-noGFPw,39,8
Cells-G2,pDS-noGFPw,40,1
Cells-G2,pDS-noGFPw,42,2
Cells-G2,pDS-noGFPw,45,1
Cells-G3,NZ_CP007446.1,15,25569
Cells-G3,NZ_CP007446.1,16,48304
Cells-G3,NZ_CP007446.1,17,58723
Cells-G3,NZ_CP007446.1,18,89995
Cells-G3,NZ_CP007446.1,19,174258
Cells-G3,NZ_CP007446.1,20,293344
Cells-G3,NZ_CP007446.1,21,298515
Cells-G3,NZ_CP007446.1,22,230028
Cells-G3,NZ_CP007446.1,23,178833
Cells-G3,NZ_CP007446.1,24,250273
Cells-G3,NZ_CP007446.1,25,205796
Cells-G3,NZ_CP007446.1,26,333742
Cells-G3,NZ_CP007446.1,27,128494
Cells-G3,NZ_CP007446.1,28,114961
Cells-G3,NZ_CP007446.1,29,71234
Cells-G3,NZ_CP007446.1,30,77705
Cells-G3,NZ_CP007446.1,31,65021
Cells-G3,NZ_CP007446.1,32,31932
Cells-G3,NZ_CP007446.1,33,30116
Cells-G3,NZ_CP007446.1,34,24584
Cells-G3,NZ_CP007446.1,35,19968
Cells-G3,NZ_CP007446.1,36,12114
Cells-G3,NZ_CP007446.1,37,10392
Cells-G3,NZ_CP007446.1,38,4781
Cells-G3,NZ_CP007446.1,39,4971
Cells-G3,NZ_CP007446.1,40,4664
Cells-G3,NZ_CP007446.1,41,4987
Cells-G3,NZ_CP007446.1,42,1539
Cells-G3,NZ_CP007446.1,43,1040
Cells-G3,NZ_CP007446.1,44,497
Cells-G3,NZ_CP007446.1,45,394
Cells-G3,NZ_CP007446.1,46,290
Cells-G3,NZ_CP007446.1,47,198
Cells-G3,NZ_CP007446.1,48,107
Cells-G3,NZ_CP007446.1,49,92
Cells-G3,NZ_CP007446.1,50,64
Cells-G3,NZ_CP007446.1,51,73
Cells-G3,NZ_CP007446.1,52,61
Cells-G3,NZ_CP007446.1,53,32
Cells-G3,NZ_CP007446.1,54,25
Cells-G3,NZ_CP007446.1,55,22
Cells-G3,NZ_CP007446.1,56,25
Cells-G3,NZ_CP007446.1,57,4
Cells-G3,NZ_CP007446.1,58,3
Cells-G3,NZ_CP007446.1,59,2
Cells-G3,NZ_CP007446.1,60,2
Cells-G3,NZ_CP007446.1,62,1
Cells-G3,NZ_CP007446.1,65,1
Cells-G3,GFP_wPT,15,32853
Cells-G3,GFP_wPT,16,9560
Cells-G3,GFP_wPT,17,13220
Cells-G3,GFP_wPT,18,24456
Cells-G3,GFP_wPT,19,27912
Cells-G3,GFP_wPT,20,24646
Cells-G3,GFP_wPT,21,48094
Cells-G3,GFP_wPT,22,35335
Cells-G3,GFP_wPT,23,49220
Cells-G3,GFP_wPT,24,17598
Cells-G3,GFP_wPT,25,18120
Cells-G3,GFP_wPT,26,12165
Cells-G3,GFP_wPT,27,10671
Cells-G3,GFP_wPT,28,13069
Cells-G3,GFP_wPT,29,7504
Cells-G3,GFP_wPT,30,5885
Cells-G3,GFP_wPT,31,3045
Cells-G3,GFP_wPT,32,3569
Cells-G3,GFP_wPT,33,2380
Cells-G3,GFP_wPT,34,1445
Cells-G3,GFP_wPT,35,1118
Cells-G3,GFP_wPT,36,635
Cells-G3,GFP_wPT,37,331
Cells-G3,GFP_wPT,38,203
Cells-G3,GFP_wPT,39,132
Cells-G3,GFP_wPT,40,87
Cells-G3,GFP_wPT,41,46
Cells-G3,GFP_wPT,42,50
Cells-G3,GFP_wPT,43,30
Cells-G3,GFP_wPT,44,21
Cells-G3,GFP_wPT,45,11
Cells-G3,GFP_wPT,46,9
Cells-G3,GFP_wPT,47,9
Cells-G3,GFP_wPT,48,7
Cells-G3,GFP_wPT,49,7
Cells-G3,GFP_wPT,50,5
Cells-G3,GFP_wPT,51,6
Cells-G3,GFP_wPT,52,1
Cells-G3,GFP_wPT,53,2
Cells-G3,GFP_wPT,55,1
Cells-G3,pDS-noGFPw,15,461
Cells-G3,pDS-noGFPw,16,754
Cells-G3,pDS-noGFPw,17,1337
Cells-G3,pDS-noGFPw,18,2173
Cells-G3,pDS-noGFPw,19,3023
Cells-G3,pDS-noGFPw,20,2826
Cells-G3,pDS-noGFPw,21,3847
Cells-G3,pDS-noGFPw,22,3255
Cells-G3,pDS-noGFPw,23,2988
Cells-G3,pDS-noGFPw,24,2287
Cells-G3,pDS-noGFPw,25,1550
Cells-G3,pDS-noGFPw,26,1681
Cells-G3,pDS-noGFPw,27,1392
Cells-G3,pDS-noGFPw,28,808
